id,titulo,empresa,ciudad,modalidad,experiencia,lenguajes,salario,tipo_contrato,fecha_publicacion,vacantes
65,Ingeniero de Datos,DataSoft,Barranquilla,Presencial,junior,"JavaScript, Java",4099435.0,indefinido,2025-05-25,6
66,Analista de Datos,DataSoft,bogota,Presencial,junior,"Power BI, TensorFlow, Node.js, R",1996769.0,Freelance,2024-11-29,5
67,Machine Learning Engineer,CodeLab,Cali,Híbrido,Semi-Senior,"R, SQL, TensorFlow",5571741.0,Temporal,2025-05-12,8
68,Analista de Datos,Bancolombia,Cartagena,Remoto,Senior,"React, JavaScript, SQL, Java, Azure, TensorFlow",8846797.0,indefinido,2024-09-15,3
69,Backend Developer,TechNova,bogota,Remoto,Senior,"Node.js, JavaScript",,Indefinido,2024-09-25,10
70,Data Scientist,InnovaTech,Medellín,remoto,Senior,"R, Excel, Python, JavaScript, Tableau",8364685.0,Contrato,2026-04-15,2
71,Software Developer,Sura,Medellín,Híbrido,semi senior,"Excel, Docker",5202107.0,Indefinido,2024-05-12,9
72,Full Stack Developer,InnovaTech,Remoto,Presencial,junior,"Java, AWS, Node.js, Power BI, Tableau, Pandas",3111736.0,indefinido,2026-04-08,10
73,Frontend Developer,Sura,Medellín,Híbrido,Junior,"AWS, Java",3107293.0,Temporal,2026-04-09,3
74,Software Developer,IBM,Cartagena,Remoto,semi senior,"Power BI, Tableau",,Temporal,2025-12-08,5
75,Software Developer,TechNova,Barranquilla,remoto,Senior,"SQL, Pandas, Java, JavaScript, Azure",7823247.0,Indefinido,2026-02-27,9
76,Backend Developer,CodeLab,Cartagena,Hibrido,Semi-Senior,"Azure, Excel, SQL, Python",5372876.0,indefinido,2025-08-19,5
77,Machine Learning Engineer,IBM,bogota,Remoto,junior,"TensorFlow, Power BI, JavaScript, Node.js",3122905.0,indefinido,2025-06-10,1
78,Software Developer,Globant,Cartagena,Hibrido,junior,"JavaScript, Python, SQL, Java, Pandas, React",3567640.0,Indefinido,2024-07-31,3
79,BI Analyst,Mercado Libre,bogota,Presencial,junior,"Docker, JavaScript, Excel, React, Power BI",3085160.0,Contrato,2025-10-06,6
80,BI Analyst,Sura,Remoto,Hibrido,Senior,"R, Power BI, TensorFlow",9410908.0,Indefinido,2025-06-10,8
81,Data Analyst,TechNova,medellin,remoto,Junior,"SQL, AWS, Power BI, Node.js",3986222.0,Contrato,2024-10-06,1
82,Full Stack Developer,Claro,Cali,Presencial,Semi-Senior,"AWS, Tableau, Pandas, Azure, Python, Java",5278732.0,Contrato,2024-11-26,8
83,Data Analyst,Claro,Remoto,Remoto,Junior,"AWS, Java, TensorFlow, Excel, JavaScript, Node.js",,Temporal,2024-05-29,2
84,Machine Learning Engineer,DataSoft,Cartagena,remoto,junior,"Tableau, TensorFlow, JavaScript",1848984.0,Contrato,2024-10-07,8
85,Machine Learning Engineer,DataSoft,Cali,Remoto,Semi-Senior,"Power BI, Java, React",6700070.0,Freelance,2026-01-11,7
86,Software Developer,TechNova,bogota,Híbrido,Senior,"JavaScript, Azure, Python, Docker, TensorFlow, React",10161864.0,Contrato,2025-06-11,9
87,Frontend Developer,Teleperformance,Remoto,Híbrido,junior,"AWS, Node.js, Power BI, Tableau, R, Java",3304384.0,Contrato,2025-09-25,1
88,BI Analyst,Globant,Cali,Hibrido,Senior,"Power BI, Pandas, AWS, Azure, Excel",9833643.0,indefinido,2024-10-27,6
89,Ingeniero de Datos,InnovaTech,Cali,Remoto,Junior,"SQL, Node.js, Tableau, Python, Excel",4330919.0,Contrato,2025-08-25,5
90,Ingeniero de Datos,Davivienda,bogota,Hibrido,Senior,"Pandas, SQL, R, Docker, Node.js",9552126.0,Indefinido,2025-04-06,10
91,Data Scientist,CodeLab,Medellín,remoto,Junior,"Java, TensorFlow, SQL, Power BI",2236330.0,Temporal,2025-02-02,5
92,Analista de Datos,Accenture,Cali,Híbrido,Junior,"JavaScript, R",,indefinido,2026-04-21,7
93,Software Developer,InnovaTech,Remoto,Hibrido,semi senior,"Excel, Docker, SQL",5911138.0,Temporal,2025-10-03,8
94,Data Analyst,CodeLab,bogota,Presencial,semi senior,"Pandas, JavaScript, Tableau, Azure, Docker",4386146.0,indefinido,2025-03-04,3
95,Full Stack Developer,IBM,Cartagena,Híbrido,Junior,"React, JavaScript, Pandas, Power BI",4209818.0,Contrato,2025-10-12,8
96,Ingeniero de Datos,Sura,Bogotá,Hibrido,Junior,"R, React, JavaScript, TensorFlow, AWS, Python",4331785.0,Indefinido,2024-09-05,10
97,Analista de Datos,Rappi,Barranquilla,Hibrido,junior,"AWS, Docker, Java, React",2088998.0,Freelance,2024-09-22,3
98,BI Analyst,Globant,Bucaramanga,Híbrido,Junior,"JavaScript, AWS",3943400.0,Indefinido,2024-06-02,5
99,Machine Learning Engineer,Davivienda,medellin,Hibrido,Senior,"Java, Excel, AWS",8879111.0,Freelance,2025-12-14,3
100,BI Analyst,Mercado Libre,Cali,Híbrido,Senior,"AWS, JavaScript, TensorFlow, R, SQL",8796107.0,Contrato,2024-12-17,9
101,Analista de Datos,TechNova,Cartagena,Hibrido,Senior,"Python, JavaScript, Node.js, SQL, Tableau",8151279.0,Contrato,2025-02-27,6
102,Frontend Developer,TechNova,Medellín,remoto,Junior,"Python, React, Node.js, R, Azure",3970230.0,Freelance,2024-11-25,7
103,Data Scientist,Mercado Libre,Barranquilla,Hibrido,Junior,"JavaScript, Tableau",2589570.0,Temporal,2025-04-23,7
104,Data Scientist,InnovaTech,bogota,Hibrido,junior,"Power BI, React, TensorFlow, AWS, Excel, Docker",3850731.0,Contrato,2025-02-05,5
105,Analista de Datos,Mercado Libre,Bucaramanga,Hibrido,Junior,"Tableau, Docker, Java",3421685.0,Freelance,2025-09-08,1
106,BI Analyst,Mercado Libre,Barranquilla,Hibrido,junior,"Azure, Docker",3921690.0,Indefinido,2026-02-19,1
107,Data Scientist,InnovaTech,medellin,Híbrido,Senior,"AWS, React, Java",10098816.0,indefinido,2025-12-11,4
108,Full Stack Developer,InnovaTech,Cali,Híbrido,Semi-Senior,"AWS, React, Python",4791234.0,indefinido,2024-12-15,5
109,Analista de Datos,CodeLab,Barranquilla,Hibrido,Semi-Senior,"Excel, Python",6248260.0,Freelance,2025-08-27,1
110,Data Scientist,DataSoft,Medellín,remoto,Semi-Senior,"TensorFlow, Power BI, Node.js",4439182.0,Contrato,2025-09-23,6
111,Machine Learning Engineer,Sura,bogota,Remoto,semi senior,"Node.js, Java, React, Python, Pandas",5321101.0,Indefinido,2025-02-15,8
112,BI Analyst,Mercado Libre,Medellín,Presencial,junior,"Tableau, TensorFlow",3006914.0,indefinido,2024-09-21,3
113,Software Developer,Claro,Cartagena,remoto,Junior,"Pandas, React, Node.js, TensorFlow, R, Power BI",2284064.0,indefinido,2026-04-01,10
114,Machine Learning Engineer,DataSoft,Barranquilla,remoto,junior,"Azure, Pandas",2014020.0,Contrato,2026-03-24,4
115,Ingeniero de Datos,Davivienda,Cartagena,Presencial,junior,"Power BI, Docker, TensorFlow, SQL, R",3772990.0,Temporal,2026-02-01,8
116,Data Scientist,DataSoft,Bucaramanga,Híbrido,Junior,"SQL, Power BI",2997421.0,indefinido,2025-04-07,1
117,Data Analyst,Sura,Cartagena,Presencial,semi senior,"R, Pandas, SQL, Power BI, Docker, TensorFlow",5494490.0,Indefinido,2025-02-20,10
118,Analista de Datos,Mercado Libre,Cartagena,Hibrido,semi senior,"Java, Azure, SQL, R, Node.js",4967752.0,Temporal,2025-06-25,7
119,Full Stack Developer,Globant,Cali,Presencial,semi senior,"React, Pandas, Azure, Node.js, Python, Docker",6116121.0,Freelance,2025-10-01,6
120,Data Scientist,Bancolombia,Bogotá,Remoto,Senior,"React, Pandas, Power BI",,indefinido,2024-10-04,4
121,Analista de Datos,CodeLab,Medellín,Remoto,junior,"Excel, R, JavaScript, TensorFlow",3816716.0,Temporal,2024-06-01,3
122,Ingeniero de Datos,IBM,bogota,remoto,semi senior,"JavaScript, Tableau",,Freelance,2025-08-03,4
123,BI Analyst,Claro,Cartagena,Remoto,semi senior,"SQL, JavaScript, Pandas, AWS, React",4569598.0,Temporal,2025-01-18,7
124,Backend Developer,CodeLab,Cartagena,Presencial,semi senior,"JavaScript, Java, AWS",,Freelance,2025-02-28,2
125,Machine Learning Engineer,Claro,Bucaramanga,Remoto,Junior,"Excel, Docker, Power BI, Node.js, Java",2974371.0,Contrato,2026-02-16,1
126,Software Developer,Accenture,Remoto,remoto,junior,"Azure, R",,Freelance,2024-10-08,2
127,Analista de Datos,Mercado Libre,Remoto,Remoto,junior,"Excel, AWS, React, Tableau",,Temporal,2026-03-14,7
128,Full Stack Developer,DataSoft,Bucaramanga,Híbrido,semi senior,"Power BI, Azure",4773548.0,Freelance,2024-08-28,3
129,Frontend Developer,CodeLab,Bucaramanga,Presencial,Junior,"Node.js, Docker",3313475.0,Temporal,2025-11-01,4
130,Data Scientist,Bancolombia,bogota,remoto,Junior,"Excel, React, Docker",4121900.0,indefinido,2025-10-31,10
131,Backend Developer,IBM,Medellín,remoto,junior,"Pandas, Docker, React, R, Azure, TensorFlow",2799238.0,Contrato,2025-11-18,5
132,BI Analyst,Globant,Bogotá,Presencial,Senior,"Node.js, SQL, JavaScript, Tableau",9728434.0,Freelance,2024-07-30,2
133,Software Developer,TechNova,Barranquilla,Presencial,Junior,"Power BI, Tableau, React, Node.js, Python, Azure",2479989.0,indefinido,2025-11-09,8
134,Analista de Datos,DataSoft,Medellín,Hibrido,semi senior,"Tableau, SQL",3843585.0,Temporal,2025-04-07,1
135,Analista de Datos,Sura,Remoto,remoto,Semi-Senior,"Node.js, Docker, React, Excel, R",5719945.0,Freelance,2024-12-29,10
136,Ingeniero de Datos,Sura,Cartagena,Hibrido,Junior,"SQL, R, Docker, Node.js",4261196.0,Temporal,2025-08-29,6
137,Ingeniero de Datos,Bancolombia,Medellín,Presencial,Junior,"Docker, R, JavaScript",2209556.0,indefinido,2025-01-24,7
138,Data Analyst,Davivienda,Cartagena,Híbrido,Senior,"SQL, Pandas, Azure, Power BI, Node.js, R",9375557.0,Temporal,2025-07-15,6
139,Data Scientist,Claro,medellin,Hibrido,junior,"Excel, SQL, JavaScript",3861083.0,Indefinido,2025-04-23,6
140,Backend Developer,DataSoft,bogota,Remoto,semi senior,"Excel, Docker, Azure, TensorFlow, React",4000235.0,Contrato,2024-09-24,6
141,Frontend Developer,Sura,bogota,Híbrido,Semi-Senior,"JavaScript, AWS, TensorFlow, Tableau, Java, Node.js",6423091.0,Freelance,2025-11-23,10
142,Ingeniero de Datos,Bancolombia,Barranquilla,Hibrido,junior,"AWS, Power BI, Node.js, Docker",3809021.0,Temporal,2024-09-03,5
143,Data Scientist,Sura,Medellín,Híbrido,Junior,"Node.js, SQL, TensorFlow, Docker",3301482.0,Freelance,2026-03-28,8
144,Ingeniero de Datos,Globant,Remoto,Hibrido,semi senior,"SQL, Java, Tableau, R, Python",4342335.0,Freelance,2024-11-12,4
145,Analista de Datos,CodeLab,Cali,Híbrido,junior,"Java, Python, R, SQL",1875766.0,Indefinido,2025-08-26,5
146,BI Analyst,Teleperformance,Bogotá,Remoto,junior,"AWS, TensorFlow, Tableau",4284413.0,Indefinido,2025-03-17,5
147,Frontend Developer,Sura,Medellín,Remoto,Semi-Senior,"TensorFlow, React, Node.js, Power BI, SQL, JavaScript",6001240.0,Temporal,2026-03-25,7
148,Software Developer,Claro,Bogotá,Hibrido,semi senior,"Azure, Tableau",4784346.0,indefinido,2024-07-02,4
149,Frontend Developer,Teleperformance,Remoto,Híbrido,Semi-Senior,"React, R",5803165.0,Indefinido,2024-12-22,9
150,Ingeniero de Datos,InnovaTech,bogota,Remoto,Senior,"Node.js, Docker, AWS, Azure, TensorFlow, Python",,Contrato,2025-10-26,6
151,Data Scientist,CodeLab,Bucaramanga,Híbrido,Senior,"AWS, SQL, R, Java",7927948.0,Indefinido,2025-11-10,6
152,BI Analyst,DataSoft,bogota,Híbrido,semi senior,"Azure, AWS, Pandas",5427880.0,Temporal,2024-08-01,2
153,Data Analyst,Davivienda,Cartagena,Hibrido,junior,"Python, AWS, Java",,Contrato,2024-11-24,9
154,Data Analyst,InnovaTech,Bucaramanga,Presencial,junior,"JavaScript, R, AWS",2299046.0,Indefinido,2025-04-04,6
155,BI Analyst,Davivienda,medellin,Presencial,junior,"Docker, Power BI, R, Excel, Tableau",1821959.0,Indefinido,2024-11-27,7
156,Data Scientist,Mercado Libre,Bucaramanga,Presencial,Junior,"Node.js, JavaScript, R",3898792.0,Freelance,2025-04-27,8
157,BI Analyst,Globant,Bucaramanga,Hibrido,semi senior,"TensorFlow, Tableau, R",5754109.0,Contrato,2024-07-19,5
158,Backend Developer,Globant,Cali,Hibrido,Junior,"R, Node.js, AWS, TensorFlow, Pandas",,Contrato,2024-08-27,1
159,Software Developer,Bancolombia,bogota,Presencial,Semi-Senior,"R, Power BI, React, Python",,Freelance,2024-08-03,8
160,Data Scientist,Globant,Cali,remoto,Junior,"R, Power BI, Docker, Pandas, JavaScript, Java",4362990.0,indefinido,2025-07-06,7
161,Full Stack Developer,DataSoft,bogota,Híbrido,semi senior,"TensorFlow, Tableau, Java, React",5184250.0,Indefinido,2025-08-07,3
162,Analista de Datos,DataSoft,Medellín,Hibrido,Junior,"SQL, AWS, Pandas, R, Azure",2161087.0,indefinido,2024-07-09,5
163,Frontend Developer,Mercado Libre,Barranquilla,Híbrido,Senior,"AWS, R, Node.js",8813343.0,Temporal,2024-08-24,8
164,Data Scientist,Mercado Libre,Cartagena,remoto,Junior,"R, Tableau, AWS, Node.js, Excel, React",4182263.0,Contrato,2025-10-09,9
165,BI Analyst,TechNova,medellin,Presencial,junior,"SQL, Excel, R, Pandas, Docker, Tableau",4015603.0,Temporal,2024-12-29,9
166,Data Scientist,Claro,Cali,Presencial,semi senior,"Power BI, Node.js, Python",5296176.0,Temporal,2024-05-30,3
167,Data Scientist,Sura,Barranquilla,Hibrido,Senior,"R, Node.js, JavaScript",9686013.0,Freelance,2025-11-11,3
168,Backend Developer,Teleperformance,Cali,Híbrido,Senior,"Node.js, Pandas",8239792.0,indefinido,2026-02-14,10
169,Full Stack Developer,TechNova,Barranquilla,Hibrido,Senior,"Python, Azure, Docker, SQL, AWS, React",7839353.0,Contrato,2024-06-29,10
170,Full Stack Developer,IBM,Medellín,Remoto,Junior,"JavaScript, Pandas, Docker, Tableau, Java, Power BI",4390227.0,Temporal,2025-12-04,8
171,Analista de Datos,InnovaTech,Bucaramanga,Presencial,junior,"R, React, Excel",1865318.0,Contrato,2025-02-15,3
172,BI Analyst,Mercado Libre,Cartagena,remoto,Senior,"R, Java",8565313.0,Temporal,2025-09-19,3
173,Analista de Datos,Teleperformance,Bucaramanga,Híbrido,Junior,"Azure, React, Power BI, Java, Excel",,Temporal,2026-03-01,8
174,Machine Learning Engineer,IBM,Barranquilla,Híbrido,semi senior,"Tableau, Python, SQL, Power BI",4216880.0,indefinido,2024-06-21,6
175,Full Stack Developer,Claro,Bogotá,Remoto,Junior,"React, Azure, Pandas, AWS, Tableau",,Contrato,2026-05-07,3
176,Machine Learning Engineer,Rappi,Bucaramanga,Hibrido,Senior,"R, Python, Power BI, Azure, React",8613168.0,Freelance,2024-05-23,2
177,Backend Developer,Mercado Libre,Remoto,Presencial,junior,"JavaScript, Azure, React, Pandas, AWS, SQL",2025281.0,Freelance,2025-11-05,9
178,Machine Learning Engineer,Globant,Bogotá,Remoto,Senior,"React, Node.js, Power BI",9200804.0,Temporal,2024-09-17,6
179,Analista de Datos,Teleperformance,Bucaramanga,Híbrido,junior,"React, Node.js, Excel",3280415.0,Contrato,2026-05-07,10
180,BI Analyst,InnovaTech,Bogotá,Presencial,Senior,"Azure, Node.js, Docker, Tableau, React, JavaScript",8069536.0,Freelance,2025-07-12,2
181,Full Stack Developer,TechNova,Barranquilla,Remoto,junior,"React, Tableau",4214976.0,indefinido,2025-06-02,8
182,Data Analyst,Teleperformance,Medellín,Híbrido,Semi-Senior,"AWS, Azure, Power BI, Excel, Pandas, Java",5606002.0,Indefinido,2024-07-17,8
183,BI Analyst,InnovaTech,Bogotá,Híbrido,Senior,"TensorFlow, Java, Power BI, Node.js, React",7977789.0,indefinido,2026-03-25,4
184,Machine Learning Engineer,Davivienda,medellin,Presencial,semi senior,"Node.js, Power BI, R, Excel, Tableau",5361729.0,Freelance,2026-01-26,10
185,Frontend Developer,Sura,Cartagena,Híbrido,junior,"JavaScript, Node.js, Docker",2637291.0,Contrato,2024-06-14,6
186,Machine Learning Engineer,Accenture,Remoto,Presencial,junior,"JavaScript, SQL, React, Pandas",4022809.0,Temporal,2026-04-05,5
187,Full Stack Developer,DataSoft,bogota,Híbrido,Junior,"R, Tableau",3383743.0,Temporal,2025-10-14,9
188,Software Developer,Rappi,Barranquilla,Remoto,Senior,"Excel, SQL, React, TensorFlow",8481669.0,indefinido,2024-08-15,4
189,Backend Developer,Globant,medellin,Híbrido,Semi-Senior,"R, TensorFlow, Tableau, SQL, Pandas",,Contrato,2026-04-04,8
190,Data Scientist,TechNova,Barranquilla,Hibrido,junior,"R, JavaScript, Pandas, Python",4006903.0,Indefinido,2026-05-03,3
191,BI Analyst,Bancolombia,Cartagena,Remoto,junior,"Docker, Python, Power BI",3229626.0,Indefinido,2024-11-21,5
192,Machine Learning Engineer,IBM,Cali,Hibrido,semi senior,"JavaScript, Tableau, Pandas, Node.js",5541093.0,Contrato,2025-08-15,5
193,Full Stack Developer,DataSoft,Cali,Remoto,Semi-Senior,"Excel, TensorFlow, Tableau, Pandas",6765604.0,Freelance,2025-01-03,5
194,Ingeniero de Datos,InnovaTech,Remoto,Hibrido,semi senior,"Excel, React, Pandas",5818163.0,Freelance,2024-06-21,2
195,Frontend Developer,Globant,Cartagena,remoto,junior,"Excel, Tableau, R",1906081.0,Temporal,2024-10-24,8
196,Full Stack Developer,TechNova,Bucaramanga,Híbrido,Senior,"React, TensorFlow, Docker, Python",9461909.0,Indefinido,2025-05-30,2
197,Full Stack Developer,Davivienda,Barranquilla,Híbrido,junior,"Pandas, Node.js, TensorFlow, JavaScript, SQL",1910078.0,Temporal,2025-12-03,8
198,Frontend Developer,CodeLab,Barranquilla,Hibrido,Semi-Senior,"R, Power BI, TensorFlow, Node.js, Tableau, AWS",6215631.0,Indefinido,2025-02-03,9
199,Machine Learning Engineer,Claro,Barranquilla,Hibrido,junior,"SQL, React, Docker, Python",3919823.0,indefinido,2025-11-09,3
200,Data Scientist,Claro,bogota,Remoto,Semi-Senior,"Tableau, SQL, Pandas, Java, React, Docker",5766976.0,Contrato,2025-07-16,3
201,Ingeniero de Datos,Sura,Bogotá,Híbrido,semi senior,"Python, Node.js, Tableau, Pandas, JavaScript, Docker",5204104.0,indefinido,2025-11-23,2
202,Data Scientist,IBM,Bogotá,Presencial,Junior,"Node.js, Python",4108187.0,Contrato,2025-08-12,3
203,Data Scientist,TechNova,medellin,Híbrido,Semi-Senior,"R, Power BI, Tableau, Azure, TensorFlow",5959066.0,Freelance,2024-05-31,2
